num_params,learning_rate,test_acc,processor,num_epochs
104250    ,0.00010      ,0.98110 ,GPU      ,16        ,2000
104250    ,0.00100      ,0.98480 ,GPU      ,16        ,2000
104250    ,0.01000      ,0.98620 ,GPU      ,16        ,2000
104250    ,0.10000      ,0.99000 ,GPU      ,16        ,350
104250    ,0.10000      ,0.99120 ,GPU      ,16        ,2000
52258     ,0.01000      ,0.98330 ,GPU      ,8         ,250
104250    ,0.01000      ,0.98510 ,GPU      ,16        ,250
440394    ,0.01000      ,0.98750 ,GPU      ,64        ,250
953098    ,0.01000      ,0.98600 ,GPU      ,128       ,250
211690    ,0.01000      ,0.98800 ,GPU      ,32        ,250
52258     ,0.01000      ,0.98400 ,CPU      ,8         ,250
440394    ,0.01000      ,0.98500 ,CPU      ,64        ,250
211690    ,0.01000      ,0.98900 ,CPU      ,32        ,250
104250    ,0.01000      ,0.98300 ,CPU      ,16        ,250
2199690   ,0.01000      ,0.98600 ,GPU      ,256       ,250
